,player_id,player_name,player_hand,player_ht,player_ioc
1384,100910,Magnus Tideman,R,193.0,SWE
1413,100883,Christophe Bernelle,R,185.0,FRA
1417,100390,Trevor Allan,L,178.0,AUS
1423,100578,Brent Pirow,R,,RSA
1424,101109,Tarik Benhabiles,R,175.0,FRA
1426,100848,Alberto Tous,R,175.0,ESP
1492,201470,Tian C Viljoen,R,191.0,RSA
1499,100730,Florin Segarceanu,R,180.0,ROU
1504,100868,Craig A Miller,R,188.0,AUS
1511,100657,Mike Leach,L,180.0,USA
1514,101084,Jakob Hlasek,R,188.0,SUI
1526,101222,Stefan Edberg,R,188.0,SWE
1527,100714,Broderick Dyke,L,183.0,AUS
1536,100998,Stuart Bale,L,185.0,GBR
1540,100518,Ricardo Acuna,R,175.0,CHI
1620,100504,Jerome Vanier,L,175.0,FRA
1622,100624,Derek Tarr,L,185.0,USA
1624,100742,Christo Steyn,R,185.0,RSA
1627,100920,Robert Seguso,R,190.0,USA
1630,100950,Libor Pimek,R,196.0,BEL
1635,100836,Glenn Michibata,R,175.0,CAN
1636,100534,Steve Meister,R,193.0,USA
1641,100625,Scott Lipton,L,,USA
1643,100964,Jon Levine,R,178.0,USA
1644,101381,Aaron Krickstein,R,183.0,USA
1648,100957,Greg Holmes,R,178.0,USA
1663,100562,Tom Cain,R,185.0,USA
1745,101154,Simon Youl,R,185.0,AUS
1754,101256,Mark Kratzmann,L,178.0,AUS
1774,100934,Matt Anger,R,188.0,USA
1786,100926,Ken Flach,R,185.0,USA
1798,100663,Marcel Freeman,R,173.0,USA
1803,100609,Zoltan Kuharszky,R,183.0,HUN
1859,101073,Martin Jaite,R,178.0,ARG
1862,101142,Emilio Sanchez,R,180.0,ESP
1868,100894,Francesco Cancellotti,R,183.0,ITA
1869,100946,Slobodan Zivojinovic,R,198.0,YUG
1870,101120,Karel Novacek,R,190.0,CZE
1874,101020,Hans Schwaier,R,173.0,GER
1875,101158,John Frawley,R,173.0,AUS
1880,100809,Juan Aguilera,R,183.0,ESP
1891,101426,Kent Carlsson,R,180.0,SWE
1892,101113,Michael Westphal,R,190.0,GER
1898,100628,Michiel Schapers,R,201.0,NED
1899,101119,Marian Vajda,R,173.0,SVK
1969,100870,Christo Van Rensburg,R,185.0,RSA
1974,100618,Leif Shiras,R,183.0,USA
1975,100884,Steve Shaw,R,190.0,GBR
1978,100866,Shahar Perkiss,R,193.0,ISR
1987,101036,Miloslav Mecir,R,190.0,SVK
2013,101414,Boris Becker,R,190.0,GER
2015,100901,Paul Annacone,R,185.0,USA
2104,100728,Todd Nelson,R,185.0,USA
2105,100779,Kevin Moir,R,188.0,RSA
2113,101053,Michael Kures,R,185.0,USA
2115,100974,Jeff Klaparda,R,173.0,USA
2119,100660,Bob Green,R,193.0,USA
2130,100744,Peter Doohan,R,190.0,AUS
2136,100956,Simone Colombo,R,180.0,ITA
2137,101340,Ricky Brown,R,178.0,USA
2139,100771,Kelvin Belcher,R,185.0,USA
2230,100638,David Mustard,L,180.0,NZL
2232,100568,John Mattke,R,183.0,USA
2234,100787,Dale Houston,R,188.0,AUS
2247,101190,Darren Cahill,R,185.0,AUS
2249,100835,Hans Dieter Beutel,R,185.0,GER
2266,100740,Dan Cassidy,R,178.0,USA
2319,100776,Tomm Warneke,R,193.0,USA
2322,100833,Marc Flur,R,190.0,USA
2326,101063,Jordi Arrese,R,175.0,ESP
2334,100645,Huub Van Boeckel,R,190.0,NED
2338,100922,Roberto Arguello,A,173.0,ARG
2356,100751,Roberto Saad,R,185.0,ARG
2358,101276,Horacio De La Pena,L,180.0,ARG
2365,101230,Andrei Chesnokov,R,188.0,RUS
2367,100727,Raul Antonio Viver,L,190.0,ECU
2374,100460,Jose Lopez Maeso,R,173.0,ESP
2377,101080,Lawson Duncan,R,185.0,USA
2478,100772,Kelly Evernden,R,175.0,NZL
2497,100617,Bud Schultz,R,193.0,USA
2570,101409,Jaime Yzaga,R,170.0,PER
2571,100864,Martin Wostenholme,R,183.0,CAN
2591,100544,Tony Mmoh,R,178.0,NGR
2592,101066,Richard Matuszewski,R,188.0,USA
2593,101195,Amos Mansdorf,R,175.0,ISR
2594,101106,Peter Lundgren,R,185.0,SWE
2597,101263,Luke Jensen,A,190.0,USA
2601,101026,Jim Grabb,R,193.0,USA
2602,100967,Dan Goldie,R,188.0,USA
2605,100448,Bruce Foxworth,R,180.0,USA
2611,101145,Jonathan Canter,R,185.0,USA
2613,101309,Jay Berger,R,180.0,USA
2700,100871,Laurie Warder,R,183.0,AUS
2716,101185,Mark Woodforde,L,188.0,AUS
2795,101368,Christian Miniussi,R,185.0,ARG
2801,100917,Nelson Aerts,R,188.0,BRA
2805,101324,Ulf Stenlund,R,180.0,SWE
2812,100954,Luiz Mattar,R,183.0,BRA
2814,100990,Milan Srejber,R,203.0,CZE
2820,101404,Thomas Muster,L,180.0,AUT
2822,101117,Eric Jelen,R,180.0,GER
2825,100944,Mikael Pernfors,R,173.0,SWE
2828,101180,Jose Clavet,R,180.0,ESP
2829,108378,Thierry Van Den Daele,R,,FRA
2834,101179,Jean Philippe Fleurian,R,185.0,FRA
2838,101344,Bruno Oresar,R,175.0,CRO
2843,101251,Eric Winogradsky,R,188.0,FRA
2848,101048,Francisco Maciel,R,185.0,MEX
2851,100820,Thierry Pham,R,178.0,FRA
2853,101029,Ricki Osterthun,R,185.0,GER
2923,100966,Nick Fulwood,R,185.0,GBR
2932,101147,Claudio Mezzadri,R,180.0,SUI
2945,100972,Todd Witsken,R,183.0,USA
2961,101298,Jonas Svensson,R,188.0,SWE
2971,101247,Stephen Botfield,R,180.0,GBR
2981,100978,Andrew Castle,R,190.0,GBR
3059,101387,Claudio Pistolesi,R,180.0,ITA
3062,100928,Barry Moir,R,180.0,RSA
3067,101374,Leonardo Lavalle,L,188.0,MEX
3073,100865,Marcelo Ingaramo,L,178.0,ARG
3082,100830,Gary Donnelly,R,190.0,USA
3087,101285,Thierry Champion,R,183.0,FRA
3091,100837,Jeremy Bates,R,180.0,GBR
3177,100935,Michael Robertson,R,185.0,USA
3197,101004,Jim Pugh,R,193.0,USA
3198,101000,Carl Limberger,R,170.0,AUS
3200,101736,Andre Agassi,R,180.0,USA
3203,101511,Horst Skoff,R,175.0,AUT
3206,101377,Christian Bergstrom,R,180.0,SWE
3208,101439,Javier Sanchez,R,178.0,ESP
3209,101058,Francisco Yunis,R,190.0,ARG
3215,101507,Tomas Carbonell,R,178.0,ESP
3217,101284,Lars Anders Wahlgren,R,193.0,SWE
3223,101686,Franco Davin,L,173.0,ARG
3224,101233,Alex Antonitsch,R,188.0,AUT
3235,100696,Mark Buckley,R,178.0,USA
3326,101088,Larry Scott,R,188.0,USA
3335,101196,Derrick Rostagno,R,185.0,USA
3337,101334,Alexander Volkov,L,188.0,RUS
3338,101477,Chris Bailey,R,196.0,GBR
3352,101332,Gilad Bloom,L,173.0,ISR
3353,101050,Martin Laurendeau,R,190.0,CAN
3361,101191,Richey Reneberg,R,180.0,USA
3362,101124,Paolo Cane,R,180.0,ITA
3430,101096,Gary Muller,L,190.0,RSA
3436,101086,Ronald Agenor,R,180.0,USA
3452,101150,Gianluca Pozzi,L,180.0,ITA
3454,102021,Michael Chang,R,175.0,USA
3456,100997,Roger Smith,R,185.0,BAH
3457,100850,Wayne Hearn,R,188.0,USA
3461,100490,Jaroslav Navratil,R,196.0,CZE
3473,101226,Johan Carlsson,R,183.0,SWE
3479,101097,Rick Leach,L,188.0,USA
3554,100761,Danny Saltz,R,193.0,USA
3565,101650,Shane Barr,R,193.0,AUS
3574,101318,Javier Frana,L,185.0,ARG
3576,100913,Peter Carlsson,L,183.0,SWE
3577,101033,John Letts,R,185.0,USA
3612,101242,Brad Pearce,R,175.0,USA
3650,101232,Nicklas Kroon,R,183.0,SWE
3654,100908,Tobias Svantesson,R,193.0,SWE
3677,100807,Marcelo Hennemann,R,170.0,BRA
3679,101434,Petr Korda,L,190.0,CZE
3686,101382,Marcelo Filippini,R,178.0,URU
3698,101320,Magnus Gustafsson,R,185.0,SWE
3701,101238,Andres Vysand,R,180.0,GER
3702,100924,Jorge Lozano,R,180.0,MEX
3703,101012,Massimiliano Narducci,R,185.0,ITA
3705,101649,Guillermo Perez Roldan,R,178.0,ARG
3706,101378,Tore Meinecke,R,180.0,GER
3707,100995,Eduardo Masso,L,178.0,BEL
3708,101234,Patrik Kuhnen,R,190.0,GER
3710,101500,Christian Saceanu,R,190.0,GER
3711,101589,Arnaud Boetsch,R,183.0,FRA
3782,101717,Diego Nargiso,L,188.0,ITA
3789,101055,Heiner Moraing,R,190.0,GER
3796,101249,Andrei Olhovskiy,R,185.0,RUS
3797,101178,Pieter Aldrich,R,180.0,RSA
3798,101126,Chris Pridham,R,183.0,CAN
3799,101274,Udo Riglewski,R,185.0,GER
3802,101143,Branislav Stankovic,R,175.0,SVK
3809,101727,Jason Stoltenberg,R,185.0,AUS
3833,101014,John Ross,R,185.0,USA
3837,101035,Menno Oosting,R,180.0,NED
3915,101932,Jared Palmer,R,190.0,USA
3932,101205,Grant Connell,L,185.0,CAN
3938,100931,Andrew Burrow,R,178.0,RSA
3944,101412,Shuzo Matsuoka,R,185.0,JPN
3964,101793,Jim Courier,R,185.0,USA
4033,101735,Richard Fromberg,R,196.0,AUS
4036,101133,Patrick Baur,R,188.0,GER
4058,101580,Roger Rasheed,R,183.0,AUS
4065,100810,Paul Chamberlin,R,178.0,USA
4080,101391,Carl Uwe Steeb,L,180.0,GER
4087,100939,Joey Rive,L,185.0,USA
4089,101889,Todd Woodbridge,R,178.0,AUS
4092,101123,Alexander Mronz,R,188.0,GER
4162,101462,Francisco Roig,R,175.0,ESP
4163,101948,Pete Sampras,R,185.0,USA
4167,101843,Sergi Bruguera,R,188.0,ESP
4170,101609,David Wheaton,R,193.0,USA
4176,101481,Omar Camporese,R,188.0,ITA
4177,101354,Andrew Sznajder,R,175.0,CAN
4192,101264,Michael Tauson,R,193.0,DEN
4193,101235,Paul Haarhuis,R,188.0,NED
4196,101606,Alberto Mancini,R,180.0,ARG
4199,101529,Michael Stich,R,193.0,GER
4200,101964,Goran Ivanisevic,L,193.0,CRO
4203,101809,Nicolas Pereira,R,188.0,VEN
4208,101772,Andrei Cherkasov,R,180.0,RUS
4210,101030,Goran Prpic,R,180.0,CRO
4218,101216,Olli Rahnasto,R,183.0,FIN
4285,100595,Ronnie Bathman,R,183.0,SWE
4312,101783,Mark Petchey,R,183.0,GBR
4322,100747,Glenn Layendecker,L,185.0,USA
4333,101510,Henrik Holm,R,183.0,SWE
4335,101071,Tom Nijssen,R,175.0,NED
4415,101543,Jeff Tarango,L,180.0,USA
4424,101613,Malivai Washington,R,180.0,USA
4433,101214,Bryan Shelton,R,185.0,USA
4439,101067,Philip Johnson,R,173.0,USA
4441,101308,Neil Broad,R,190.0,GBR
4456,100896,Miguel Nido,R,180.0,PUR
4461,101358,Olivier Delaitre,R,170.0,FRA
4469,101440,Mark Koevermans,R,185.0,NED
4540,101421,Veli Paloheimo,R,183.0,FIN
4552,101237,Danilo Marcelino,R,193.0,BRA
4576,101365,Paul Wekesa,R,188.0,KEN
4596,101364,Bret Garnett,R,185.0,USA
4597,101371,Malcolm Allen,R,178.0,USA
4598,101900,Nicklas Kulti,R,190.0,SWE
4700,101393,Jens Woehrmann,R,180.0,GER
4702,101723,Magnus Larsson,R,193.0,SWE
4708,101767,Lars Jonsson,R,188.0,SWE
4709,101924,Stefano Pescosolido,R,185.0,ITA
4723,101398,Neil Borwick,L,193.0,AUS
4726,101022,Kelly Jones,R,185.0,USA
4794,101243,Roberto Azar,L,185.0,ARG
4795,101337,Martin Strelba,R,190.0,CZE
4805,102148,Fabrice Santoro,R,178.0,FRA
4812,101731,Nuno Marques,L,190.0,POR
4813,101971,Johan Anderson,R,183.0,AUS
4817,101820,Marc Rosset,R,201.0,SUI
4821,100711,Pedro Rebolledo,R,170.0,CHI
4825,101429,Stephane Grenier,R,190.0,FRA
4844,102000,Aki Rahunen,R,175.0,FIN
4924,101703,Guillaume Raoux,R,180.0,FRA
4975,101965,Wayne Ferreira,R,185.0,RSA
5056,101407,David Engel,R,180.0,SWE
5072,102235,Tommy Ho,L,183.0,USA
5080,101265,Patrick McEnroe,R,183.0,USA
5088,101750,Cristiano Caratti,R,178.0,ITA
5178,101761,Jaime Oncins,R,196.0,BRA
5182,101642,Bart Wuyts,R,178.0,BEL
5194,101792,Slava Dosedel,R,183.0,CZE
5199,101733,Jan Siemerink,L,183.0,NED
5216,101990,Richard Krajicek,R,196.0,NED
5222,101532,Francisco Clavet,L,183.0,ESP
